0xDeBdaF2390372E715C7F396559d1BbE1b69B53AD,5.84328179526274E+022,7.84%
0x15eCd31318fa645B6496F1f21b22Ebfe3AD0c865,7.25020631119726E+021,0.97%
0xE2B52Fc1ad49B93F85C45315EcbAd740f17B0e8E,4.26843417019247E+022,5.72%
0x0B641c4437949026414435AB98C0239Dd9540632,4.930474339157E+020,0.07%
0xD1392266409e64B16441A9eabAadcff4eECeD219,9.35709503522091E+020,0.13%
0x13445a6E17f1e6Cf4E0F7632a864828171721791,1.20556801022587E+022,1.62%
0x23b6d8e09CB33B1550DE19aC25cC3F41ae4603Bb,2.52012073629284E+022,3.38%
0xf203F8e920922891e5e345d57ED5ff09CE30071B,1.50010202918832E+023,20.12%
0x157D507f0e0Ae9d095FbaEc1B525B511467f0fF7,2.97985308334909E+021,0.40%
0xeba06532a72bec44A1d33130aaa7C45c31e502F6,8.7350104163011E+021,1.17%
0x5299C7D2b73B6A96231081DabFD54DfCc84feDEB,8.97856559156544E+021,1.20%
0x4a37490b9349A17997008047a2FF0c25a45A88ED,2.83876058253673E+023,38.07%
0xD11eA24e640650727040C34A71cC89e4F8Ed1c8C,2.31742532422524E+021,0.31%
0xFDE4E3B27edD706e2D3E6dc9E7a90422D6A2de7c,1.37941272874777E+023,18.50%
0x21E5731BfA87Bd7f8a6aBc63504f8000c0ceD992,2.71718191695238E+021,0.36%
0xf1d3b0f1c42A15cc6aA6d5e738aEf1e4a289a026,461875612958928,0.00%
0x6BDa0404288459CdC35B95A0162636088DCCBee8,6.48079690395186E+019,0.01%
0xfe6701687211BbdDb3cF1f12b24016e636acF593,1.00711896326471E+021,0.14%
,,
,,
,7.4568050814223E+023,100.00%
